text_id,file_path,student_gender,year_of_birth,first_language,education,paper_discipline,student_id,student_level,date,module_title,module_code,paper_type,discipline,disciplinary_group,grade,number_of_authors,number_of_words,number_of_s_units,number_of_p,number_of_tables,number_of_figures,number_of_block_quotes,number_of_formulae,number_of_lists,number_of_paragraphs_formatted_like_lists,abstract_present,average_words_per_s_unit,average_s_units_per_p,macrotype_of_assignment
0132a,data/text_data/bawe_body/0132a.txt,F,1986,Chinese Cantonese,OSA,LLB,0132,1,2005-12,The Modern English Legal System,LA115,Critique,Law,SS,M,1,1235,52,11,0,0,0,0,0,0,no abstract,23.8,4.7,simple assignment
0133a,data/text_data/bawe_body/0133a.txt,F,1986,Hindi,OSA,LLB,0133,1,2004-12,The Modern English Legal System,LA115,Critique,Law,SS,D,1,1223,52,12,0,0,0,0,0,0,no abstract,23.5,4.3,simple assignment
0135a,data/text_data/bawe_body/0135a.txt,F,1984,English,UKA,PAIS,0135,1,2004-11,Introduction to Politics,PO107,Essay,Politics,SS,D,1,1736,56,11,0,0,0,0,0,2,no abstract,31,5.1,simple assignment
0136b,data/text_data/bawe_body/0136b.txt,F,1983,English,OSA,Industrial Relations and Personnel Management,0136,4,2005-11,International Political Economy,WB9704,Essay,Business,SS,M,1,3393,137,36,0,0,0,0,0,0,no abstract,24.8,3.8,simple assignment
0137h,data/text_data/bawe_body/0137h.txt,F,1985,English,OSA,Politics,0137,2,2005-03,Theories of International Relations,PO219,Critique,Politics,SS,M,1,1875,58,20,0,0,0,0,0,0,no abstract,32.3,2.9,simple assignment
0138g,data/text_data/bawe_body/0138g.txt,F,1987,French,OSA,EPAIS,0138,1,2005-11,World Economy: History & Theory,EC104,Essay,Economics,SS,M,1,1581,53,8,0,0,0,0,0,0,no abstract,29.8,6.6,simple assignment
0139g,data/text_data/bawe_body/0139g.txt,F,1987,French,OSA,EPAIS,0139,1,2005-12,Economics 1,EC107,Essay,Economics,SS,D,1,1765,69,12,0,10,0,10,0,0,no abstract,25.6,5.8,simple assignment
0140g,data/text_data/bawe_body/0140g.txt,F,1986,English,OSA,Sociology,0140,2,2005-10,Theoretical Ideas in Sociology,SO221,Essay,Sociology,SS,M,1,2007,72,15,0,0,0,0,0,0,no abstract,27.9,4.8,simple assignment
0141g,data/text_data/bawe_body/0141g.txt,F,1984,English,OSA,Biochemistry,0141,2,2004-03,Biochemistry assessments,BS242,Literature survey,Biological Sciences,LS,M,1,3303,129,29,0,1,0,0,0,0,abstract present,25.6,4.4,simple assignment
0142a,data/text_data/bawe_body/0142a.txt,F,1985,Chinese Cantonese,UK1,Accounting and Finance,0142,1,2006-01,Introduction to Business Law,IB1100,Critique,Business,SS,M,1,1446,96,11,0,0,0,0,0,0,no abstract,15.1,8.7,simple assignment
0143a,data/text_data/bawe_body/0143a.txt,F,1985,English,UKA,LLB,0143,1,2003-12,The Modern English Legal System,LA115,Critique,Law,SS,M,1,1065,44,11,0,0,0,0,0,0,no abstract,24.2,4,simple assignment
0144c,data/text_data/bawe_body/0144c.txt,M,1984,English,UKA,History,0144,2,2004-11,The European World 1500-1720,HI203,Essay,History,AH,M,1,1829,47,10,0,0,0,0,0,0,no abstract,38.9,4.7,simple assignment
0146c,data/text_data/bawe_body/0146c.txt,M,1983,English,UKA,Electronics & Communications,0146,4,2005-05,Group Project,ES410,Design specification,Engineering,PS,D,7,11607,559,286,11,33,9,25,12,34,no abstract,20.8,2,simple assignment
0147b,data/text_data/bawe_body/0147b.txt,M,1986,German,OSA,History & Politics,0147,2,2005-12,States and Markets,PO230,Essay,Politics,SS,M,1,1237,57,10,0,0,0,0,0,0,no abstract,21.7,5.7,simple assignment
0148a,data/text_data/bawe_body/0148a.txt,F,1986,English,UKA,LLB,0148,1,2006-01,Basic Techniques of Common Law in Contract & Tort,LA102,Essay,Law,SS,M,1,1271,57,9,0,0,0,0,0,0,no abstract,22.3,6.3,simple assignment
0150c,data/text_data/bawe_body/0150c.txt,M,1987,English,UKA,Theatre,0150,2,2005-05,Approaches to Modernism II,TH202,Essay,other,AH,M,1,2887,109,17,0,0,4,0,0,0,no abstract,26.5,6.4,simple assignment
0152d,data/text_data/bawe_body/0152d.txt,F,1983,Malay,OSA,Business,0152,3,2005-12,Project Management,IB3820,Case study,Business,SS,D,1,3766,177,124,3,1,0,0,0,106,no abstract,21.3,1.4,simple assignment
0153c,data/text_data/bawe_body/0153c.txt,F,1983,Malay,OSA,Business,0153,1,2004-03,Introduction to Business Law,IB1100,Problem question,Business,SS,M,1,1228,52,6,0,0,0,0,0,0,no abstract,23.6,8.7,simple assignment
0155c,data/text_data/bawe_body/0155c.txt,M,1983,Chinese unspecified,UK2.5,Accounting and Finance,0155,3,2005-03,Management Accounting Parts I & II,IB2240,Case study,Business,SS,M,1,1760,81,41,1,0,0,0,7,13,abstract present,21.7,2,simple assignment
0156c,data/text_data/bawe_body/0156c.txt,F,1984,English,OSA,Sociology & Gender Studies,0156,2,NA,Social construction of masculinities,SO229,Essay,Sociology,SS,NA,NA,3469,106,21,0,0,3,0,0,5,no abstract,32.7,5,simple assignment
0159b,data/text_data/bawe_body/0159b.txt,F,1983,Chinese unspecified,OSA,Engineering Business Management,0159,4,2005-11,Logistics and Operations Management,ES961,Case study,Engineering,PS,M,1,4571,269,66,8,3,0,4,3,17,no abstract,17,4.1,simple assignment
0161h,data/text_data/bawe_body/0161h.txt,M,1985,English,UKA,History,0161,2,NA,Early American Social History,AM204,Essay,Comparative American Studies,AH,NA,NA,2212,47,10,0,0,0,0,0,0,no abstract,47.1,4.7,simple assignment
0162b,data/text_data/bawe_body/0162b.txt,F,1983,Chinese unspecified,OSA,Mathematical Biology and Biophysical Chemistry,0162,4,2006-02,Data Acquisition I: Biophysical Techniques & Instrumentation Design,MOAC2,Methodology recount,Biological Sciences,LS,D,1,2040,88,46,3,7,0,5,0,0,no abstract,23.2,1.9,simple assignment
0163a,data/text_data/bawe_body/0163a.txt,F,1985,Sinhala,OSA,LLB,0163,2,2005-12,Medicine and the Law,LA333,Essay,Law,SS,D,1,2671,134,19,0,0,0,0,0,0,no abstract,19.9,7.1,simple assignment
0165b,data/text_data/bawe_body/0165b.txt,F,1985,English,UKA,Law & Business,0165,2,2005-03,Marketing Analysis,IB3850,Case study,Business,SS,M,1,3479,165,58,6,2,0,0,1,12,abstract present,21.1,2.8,simple assignment
0166b,data/text_data/bawe_body/0166b.txt,F,1982,Chinese unspecified,OSA,Supply Engineering & Logistics,0166,4,2005-11,Engineering Business Management 1,ES425,Critique + Essay,Engineering,PS,M,1,4251,180,60,23,3,0,0,0,0,no abstract,23.6,3,compound assignment consisting of 2 parts (see notesStmt for details)
0168b,data/text_data/bawe_body/0168b.txt,M,1981,Chinese unspecified,OSA,Engineering Business Management,0168,4,2005-10,Engineering Business Management 1: Operations Strategy for Industry,ES425,Proposal,Engineering,PS,D,1,5037,242,105,0,9,0,0,7,35,no abstract,20.8,2.3,simple assignment
0169c,data/text_data/bawe_body/0169c.txt,M,1984,English,UKA,Management Science,0169,2,2005-02,Marketing Analysis,IB3850,Case study,Business,SS,M,1,3198,151,51,4,7,3,0,6,0,abstract present,21.2,3,simple assignment
0171a,data/text_data/bawe_body/0171a.txt,F,1982,English,UKA,MSc Research Methods in Psychology,0171,4,2006-02,Epistemology and Philosophy of Psychology,PS905,Essay,Psychology,LS,M,1,2303,85,16,0,0,0,0,0,0,no abstract,27.1,5.3,simple assignment
0172a,data/text_data/bawe_body/0172a.txt,M,1981,English,UKA,BA Hons Economics & Administration,0172,1,2001-11,Foundations of Organisational Behaviour,IB1010,Case study,Business,SS,D,1,2860,131,15,0,1,0,0,1,0,no abstract,21.8,8.7,simple assignment
0173a,data/text_data/bawe_body/0173a.txt,F,1980,Gujarati,UK2.5,Phase I,0173,4,2005-11,Human Diversity,MD101,Essay,Medicine,LS,D,1,2108,82,14,0,0,0,0,0,0,no abstract,25.7,5.9,simple assignment
0176a,data/text_data/bawe_body/0176a.txt,M,1982,Chinese unspecified,UK4,Mechanical Enginering,0176,4,2005-12,Engineering Business Management 1,ES425,Critique,Engineering,PS,M,1,3280,118,52,2,10,1,0,4,12,abstract present,27.8,2.3,simple assignment
0177b,data/text_data/bawe_body/0177b.txt,M,1984,English,UKA,Engineering,0177,3,2005-02,Scientific Method,PH228,Essay,Philosophy,AH,D,1,3328,121,21,0,0,0,0,0,0,no abstract,27.5,5.8,simple assignment
0178c,data/text_data/bawe_body/0178c.txt,F,1984,Gujarati,OSA,Industrial Relations and Personnel Management,0178,4,2006-03,International Political Economy,WB9704,Essay,Business,SS,M,1,3370,139,72,0,0,0,0,1,12,no abstract,24.2,1.9,simple assignment
0179d,data/text_data/bawe_body/0179d.txt,M,1983,English,UKA,Sociology,0179,2,2005-03,Sociology of the Modern State,SO213,Essay,Sociology,SS,M,1,1985,71,6,0,0,2,0,0,0,no abstract,28,11.8,simple assignment
0181c,data/text_data/bawe_body/0181c.txt,M,1985,English,UKA,Physics,0181,3,2005-11,Communicating Science,PX376,Empathy writing,Physics,PS,D,1,1620,80,18,0,4,0,0,0,0,no abstract,20.3,4.4,simple assignment
0182a,data/text_data/bawe_body/0182a.txt,M,1972,English,UKA,Phase I,0182,4,2006-01,Health in the Community,MD100,Essay,Medicine,LS,M,1,1943,66,27,0,2,0,0,1,0,no abstract,29.4,2.4,simple assignment
0183d,data/text_data/bawe_body/0183d.txt,M,1980,English,OSA,MSc Advanced Mechanical Engineering,0183,4,2005-11,Logistics & Operations Management,ES961,Exercise,Engineering,PS,M,1,1484,65,36,0,4,0,0,8,20,no abstract,22.8,1.8,simple assignment
0186a,data/text_data/bawe_body/0186a.txt,F,1980,English,UK4,European Law,0186,3,NA,Comparative Human Rights,LA320,Essay,Law,SS,NA,NA,2516,53,21,0,0,4,0,0,0,no abstract,47.5,2.5,simple assignment
0187b,data/text_data/bawe_body/0187b.txt,M,1984,English,UKA,Economics,0187,3,2006-01,International Economics,EC312,Essay,Economics,SS,M,1,1696,75,22,0,0,0,5,0,0,no abstract,22.6,3.4,simple assignment
0188c,data/text_data/bawe_body/0188c.txt,M,1984,English,UKA,Mchem/Chem,0188,2,2005-03,Key Skills Essay,CH2A5,Explanation,Chemistry,PS,D,1,2991,123,59,0,17,0,6,0,6,no abstract,24.3,2.1,simple assignment
0190d,data/text_data/bawe_body/0190d.txt,F,1983,English,UKA,Psychology,0190,1,2005-04,Introduction to Psychology,PS111,Essay,Psychology,LS,M,1,1678,71,19,0,0,0,0,0,3,no abstract,23.6,3.7,simple assignment
0191d,data/text_data/bawe_body/0191d.txt,F,1980,English,UKA,Law,0191,2,2003-04,General Principles of Constitutional & Administrative Law,LA201,Problem question,Law,SS,M,1,3059,80,18,0,0,5,0,0,0,no abstract,38.2,4.4,simple assignment
0192b,data/text_data/bawe_body/0192b.txt,F,1985,English,UK2,Psychology,0192,1,2005-01,Introduction to Psychology,PS111,Essay,Psychology,LS,M,1,1487,99,16,0,0,0,0,0,0,no abstract,15,6.2,simple assignment
0193d,data/text_data/bawe_body/0193d.txt,M,1983,English,UKA,Management Science,0193,3,2006-01,Project Management,IB3820,Case study,Business,SS,M,1,4826,220,60,0,0,1,0,0,24,no abstract,21.9,3.7,compound assignment consisting of 2 parts (see notesStmt for details)
0194b,data/text_data/bawe_body/0194b.txt,F,1974,English,UKA,Medicine,0194,4,2005-03,Rheumotology Block,NA,Case study,Medicine,LS,D,1,1242,87,84,0,0,0,0,6,0,no abstract,14.3,1,simple assignment
0195b,data/text_data/bawe_body/0195b.txt,F,1980,Romani,OSA,International Relations,0195,4,2004-01,Issues in Democratisation,PO940,Essay,Politics,SS,M,1,2692,94,10,0,0,3,0,0,0,abstract present,28.6,9.4,simple assignment
0196a,data/text_data/bawe_body/0196a.txt,M,1983,German,OSA,Law,0196,2,2006-03,General Principles of Constitutional & Administrative Law,LA201,Problem question,Law,SS,M,1,2164,89,30,0,0,1,0,0,0,no abstract,24.3,3,simple assignment
0197a,data/text_data/bawe_body/0197a.txt,F,1983,Chinese unspecified,OSA,Economics,0197,3,NA,Topics in Financial Economics,EC332,Critique,Economics,SS,NA,NA,2597,143,71,0,0,3,57,1,19,abstract present,18.2,2,simple assignment
0198a,data/text_data/bawe_body/0198a.txt,M,1986,English,UKA,Meng,0198,1,2005-01,Technological Science I,ES180,Methodology recount,Engineering,PS,D,1,2300,145,100,3,3,0,33,2,14,abstract present,15.9,1.5,simple assignment
0199b,data/text_data/bawe_body/0199b.txt,F,1987,English,UKA,Computational Biology,0199,1,2006-03,Laboratories & Assessed Work,BS121,Methodology recount,Biological Sciences,LS,D,1,1033,52,15,0,1,0,0,0,1,abstract present,19.9,3.5,simple assignment
0200b,data/text_data/bawe_body/0200b.txt,F,1985,English,UKA,Management Science,0200,1,2004-02,Quantitive Methods of Analysis,IB1020,Case study,Business,SS,M,1,1341,64,24,1,1,0,0,0,9,abstract present,21,2.7,simple assignment
0201a,data/text_data/bawe_body/0201a.txt,M,1987,English,UKA,Mphys,0201,1,2006-02,Physics Laboratory,PX110,Methodology recount,Physics,PS,D,1,10157,391,159,0,5,0,70,0,19,abstract present,26,2.5,simple assignment
0202b,data/text_data/bawe_body/0202b.txt,M,1984,English,UKA,Economics,0202,3,2005-11,The International Economic System since 1918,EC313,Essay,Economics,SS,M,1,2262,101,15,0,0,1,0,0,0,no abstract,22.4,6.7,simple assignment
0203d,data/text_data/bawe_body/0203d.txt,F,1979,English,UKA,Medicine,0203,4,2005-04,Other rotations,NA,Case study,Medicine,LS,D,1,4524,172,74,2,0,0,0,1,16,no abstract,26.3,2.3,simple assignment
0204a,data/text_data/bawe_body/0204a.txt,M,1982,Urdu,OSA,Engineering Business Management,0204,4,2006-04,Logistics and Operations Management,ES961,Narrative recount + Problem question,Engineering,PS,D,1,4985,219,80,2,4,0,2,4,12,no abstract,22.8,2.7,simple assignment
0206l,data/text_data/bawe_body/0206l.txt,M,1984,English,OSA,Economics,0206,3,2006-01,Econometrics,EC226,Exercise,Economics,SS,M,1,2978,166,78,0,0,0,37,2,5,no abstract,17.9,2.1,simple assignment
0208g,data/text_data/bawe_body/0208g.txt,F,1985,Portuguese,OSA,Business,0208,2,2006-03,Service Operations Management,IB3600,Critique,Business,SS,M,1,2756,93,26,1,1,0,0,0,0,no abstract,29.6,3.6,simple assignment
0209g,data/text_data/bawe_body/0209g.txt,M,1985,English,UKA,Law LLB,0209,2,2005-04,Environmental Law,LA353,Essay,Law,SS,M,1,2730,139,12,0,0,0,0,0,0,no abstract,19.6,11.6,simple assignment
0210d,data/text_data/bawe_body/0210d.txt,M,1986,Sinhala,OSA,Systems Engineering,0210,1,2005-11,Marketing/Industry Exercise Report,ES175,Case study,Engineering,PS,D,1,1052,38,24,1,4,0,0,1,0,no abstract,27.7,1.6,simple assignment
0212b,data/text_data/bawe_body/0212b.txt,M,1986,English,UKA,Computer Science,0212,1,2006-02,Professional Skills,CS133,Critique,Computer Science,PS,M,1,1073,47,14,0,0,0,0,0,0,no abstract,22.8,3.4,simple assignment
0214d,data/text_data/bawe_body/0214d.txt,F,1985,English,UKA,Sociology,0214,2,NA,"Transformations: Gender, Reproduction and Contemporary Society",SO231,Essay,Sociology,SS,NA,NA,2516,122,20,0,0,0,0,0,0,no abstract,20.6,6.1,simple assignment
0215d,data/text_data/bawe_body/0215d.txt,F,1987,English,UKA,Philosophy,0215,1,2006-02,Descartes & Locke,PH127,Essay,Philosophy,AH,M,1,1487,65,20,0,0,0,0,0,12,no abstract,22.9,3.3,simple assignment
0219c,data/text_data/bawe_body/0219c.txt,F,1980,Bulgarian,OSA,Industrial Relations and Personnel Management,0219,4,2006-03,Comparative European industrial relations,WB9703,Essay,Business,SS,D,1,3691,88,27,0,0,0,0,0,0,no abstract,41.9,3.3,simple assignment
0222a,data/text_data/bawe_body/0222a.txt,M,1981,English,OSA,Business,0222,4,2005-11,Strategic Marketing,ES987,Essay + Narrative recount,Engineering,PS,D,1,4580,204,42,0,0,0,0,1,0,no abstract,22.5,4.9,compound assignment consisting of 2 parts (see notesStmt for details)
0223a,data/text_data/bawe_body/0223a.txt,F,1983,Chinese unspecified,OSA,Supply Engineering and Logistics,0223,4,2004-12,Supply Chain Management,ES972,Critique + Critique,Engineering,PS,M,1,3348,177,62,3,3,0,2,0,11,abstract present,18.9,2.9,simple assignment
0224b,data/text_data/bawe_body/0224b.txt,F,1987,English,UKA,Film and Literature,0224,1,2006-03,Basic Issues and Methods: Film Criticism,FI1031,Essay,other,AH,M,1,1757,81,15,0,0,0,0,0,0,no abstract,21.7,5.4,simple assignment
0225b,data/text_data/bawe_body/0225b.txt,F,1986,Spanish,UKA,Management Science,0225,2,2006-04,Management Accounting,IB2240,Case study,Business,SS,M,1,2669,97,34,1,0,0,0,0,9,abstract present,27.5,2.9,simple assignment
0226d,data/text_data/bawe_body/0226d.txt,F,1984,Spanish,OSA,Economics,0226,3,2005-12,International Economics,EC312,Critique,Economics,SS,M,1,1588,67,25,0,7,0,4,0,11,no abstract,23.7,2.7,simple assignment
0227a,data/text_data/bawe_body/0227a.txt,M,1987,Sinhala,OSA,General Engineering,0227,1,2006-02,Technological Science I,ES180,Methodology recount,Engineering,PS,M,1,1758,130,86,4,3,0,69,7,18,abstract present,13.5,1.5,simple assignment
0228a,data/text_data/bawe_body/0228a.txt,M,1984,English,UKA,Computer Science,0228,2,2004-03,Real Time Systems,CG252,Design specification,Computer Science,PS,D,1,3637,210,98,0,4,0,1,6,6,abstract present,17.3,2.1,simple assignment
0229b,data/text_data/bawe_body/0229b.txt,F,1983,English,UKA,English,0229,2,2004-05,The European Novel,EN201,Essay,other,AH,M,1,5142,138,24,0,0,10,0,0,0,no abstract,37.3,5.8,simple assignment
0232b,data/text_data/bawe_body/0232b.txt,M,1984,English,UKA,Business,0232,3,2006-04,Simulation,IB3200,Design specification,Business,SS,D,1,3277,152,67,5,3,0,16,3,0,no abstract,21.6,2.3,simple assignment
0234a,data/text_data/bawe_body/0234a.txt,F,1983,Chinese unspecified,UKA,Mechanical Engineering,0234,4,2005-12,Project Management,IB3820,Case study,Business,SS,M,1,4073,201,58,4,1,0,0,3,18,no abstract,20.3,3.5,compound assignment consisting of 2 parts (see notesStmt for details)
0235c,data/text_data/bawe_body/0235c.txt,M,1981,English,UKA,Philosophy,0235,2,2005-11,History of Modern Philosophy,PH201,Essay,Philosophy,AH,M,1,2522,113,19,0,0,0,0,0,2,no abstract,22.3,5.9,simple assignment
0237a,data/text_data/bawe_body/0237a.txt,F,1985,Czech,UK2,Business,0237,2,2006-01,International Environment of Business,IB2180,Essay,Business,SS,M,1,1646,55,29,0,0,0,0,0,0,no abstract,29.9,1.9,simple assignment
0238d,data/text_data/bawe_body/0238d.txt,M,1987,English,UKA,Psychology,0238,1,2006-01,Further Psychology,PS112,Essay,Psychology,LS,M,1,1456,91,11,0,0,0,0,0,0,no abstract,16,8.3,simple assignment
0240d,data/text_data/bawe_body/0240d.txt,M,1984,English,UKA,Psychology,0240,2,2005-11,Social Psychology,PS220,Essay,Psychology,LS,M,1,2044,60,15,0,0,0,0,0,0,no abstract,34.1,4,simple assignment
0241a,data/text_data/bawe_body/0241a.txt,F,1985,English,UKA,Mathematics,0241,2,NA,Second Year Essay,MA213,Critique,Mathematics,PS,NA,NA,2936,192,61,0,8,0,27,2,1,no abstract,15.3,3.1,simple assignment
0243c,data/text_data/bawe_body/0243c.txt,M,1984,English,UKA,Engineering,0243,2,2005-03,Fluid Mechanics,ES252,Methodology recount,Engineering,PS,M,1,2209,167,90,0,1,0,59,0,0,abstract present,13.2,1.9,simple assignment
0244e,data/text_data/bawe_body/0244e.txt,F,1985,English,UKA,History,0244,3,2005-11,Workers and Society in Europe 1870-1945,HI362,Essay,History,AH,M,1,1785,53,12,0,0,0,0,0,0,no abstract,33.7,4.4,simple assignment
0245j,data/text_data/bawe_body/0245j.txt,F,1980,English,UKA,Medicine,0245,4,2005-09,Other Rotations,NA,Case study,Medicine,LS,D,1,3468,167,63,0,2,0,0,8,25,no abstract,20.8,2.7,simple assignment
0246i,data/text_data/bawe_body/0246i.txt,F,1981,English,UKA,Medicine,0246,4,2006-03,Other Rotations,NA,Case study,Medicine,LS,D,1,3321,155,65,1,0,1,0,4,23,no abstract,21.4,2.4,simple assignment
0247a,data/text_data/bawe_body/0247a.txt,F,1987,English,UKA,Biochemistry,0247,1,2006-04,"Proteins, Genes, and Genetics",BS125,Critique,Biological Sciences,LS,M,1,3127,114,25,1,1,0,0,0,0,abstract present,27.4,4.6,simple assignment
0248a,data/text_data/bawe_body/0248a.txt,M,1987,English,OSA,Physics,0248,1,2006-05,Physics Laboratory,PX110,Methodology recount,Physics,PS,M,1,2615,157,93,1,6,0,46,7,24,abstract present,16.7,1.7,simple assignment
0249g,data/text_data/bawe_body/0249g.txt,M,1985,English,UKA,Engineering,0249,1,2004-05,Modelling and System Dynamics,ES162,Methodology recount,Engineering,PS,M,1,2012,95,61,0,0,0,19,4,0,abstract present,21.2,1.6,simple assignment
0250e,data/text_data/bawe_body/0250e.txt,M,1985,English,UKA,Engineering,0250,3,2005-10,Project,ES380,Design specification,Engineering,PS,D,1,8389,311,67,11,4,0,0,0,0,abstract present,27,4.6,simple assignment
0251a,data/text_data/bawe_body/0251a.txt,F,1987,English,UKA,Physics,0251,2,2005-12,Physics Skills,PX271,Methodology recount,Physics,PS,D,1,3658,156,93,2,9,0,20,1,9,abstract present,23.4,1.7,simple assignment
0252t,data/text_data/bawe_body/0252t.txt,F,1984,English,UKA,History,0252,1,2004-04,Face and Body in Western Medicine and Culture from the Renaissance to Freud,HI259,Essay,History,AH,M,1,1721,65,14,0,0,0,0,0,0,no abstract,26.5,4.6,simple assignment
0253i,data/text_data/bawe_body/0253i.txt,F,1983,Malay,OSA,Business,0253,3,2005-12,Strategic Management Accounting,IB3750,Problem question,Business,SS,M,1,1660,82,24,0,0,0,0,0,5,abstract present,20.2,3.4,simple assignment
0254a,data/text_data/bawe_body/0254a.txt,M,1982,Chinese unspecified,OSA,Engineering,0254,2,2004-05,Design of Measurement Systems,ES21Q,Methodology recount,Engineering,PS,M,1,1486,95,55,1,4,0,42,2,23,abstract present,15.6,1.7,simple assignment
0255c,data/text_data/bawe_body/0255c.txt,M,1984,English,UKA,International Relations,0255,4,2006-03,European Integration,PO910,Essay,Politics,SS,M,1,5469,152,29,0,0,0,0,0,0,abstract present,36,5.2,simple assignment
0257d,data/text_data/bawe_body/0257d.txt,M,1983,Chinese unspecified,OSA,PAIS,0257,4,2006-05,Theories and Issues in International Political Economy,PO907,Essay,Politics,SS,M,1,5349,232,39,0,0,1,0,1,0,abstract present,23.1,5.9,simple assignment
0258f,data/text_data/bawe_body/0258f.txt,M,1984,Hindi,OSA,Computer Science,0258,3,2004-04,Computer Science Project,CS310,Design specification,Computer Science,PS,M,1,6344,297,126,2,3,0,0,3,44,abstract present,21.4,2.4,simple assignment
0259c,data/text_data/bawe_body/0259c.txt,F,1982,English,OSA,Philosophy,0259,4,2006-02,Origins of Phenomenology,PH955,Essay,Philosophy,AH,D,1,4870,160,35,0,0,11,0,0,0,no abstract,30.4,4.6,simple assignment
0260c,data/text_data/bawe_body/0260c.txt,F,1982,English,UKA,Medicine,0260,4,2003-11,Human Diversity,MD101,Essay,Medicine,LS,M,1,2088,94,28,0,0,0,0,0,6,no abstract,22.2,3.4,simple assignment
0261d,data/text_data/bawe_body/0261d.txt,M,1985,English,OSA,Comparative American Studies,0261,1,2004-10,North America: Themes and Problems,AM102,Essay,Comparative American Studies,AH,M,1,1985,81,16,0,0,0,0,0,0,no abstract,24.5,5.1,simple assignment
0262a,data/text_data/bawe_body/0262a.txt,F,1984,English,UKA,Psychology,0262,2,2004-12,Language and Thought,PS210,Essay,Psychology,LS,D,1,1995,95,12,0,0,0,0,0,0,no abstract,21,7.9,simple assignment
0263g,data/text_data/bawe_body/0263g.txt,F,1986,English,UKA,Computer Science,0263,1,2004-04,Computer Organisation and Architecture,CG152,Research report,Computer Science,PS,M,1,3407,130,36,0,4,8,0,5,0,abstract present,26.2,3.6,simple assignment
0264c,data/text_data/bawe_body/0264c.txt,F,1981,Chinese unspecified,OSA,Industrial Relations and Personnel Management,0264,4,2006-03,Industrial Relations and Personnel Management,WB9710,Essay,Business,SS,M,1,3317,92,21,0,0,0,0,0,0,no abstract,36.1,4.4,simple assignment
0265a,data/text_data/bawe_body/0265a.txt,M,1985,English,UKA,Biochemistry,0265,2,2006-03,Biochemistry Laboratories and Assessed Work,BS240,Methodology recount,Biological Sciences,LS,D,1,3222,114,27,0,1,0,0,0,0,abstract present,28.3,4.2,simple assignment
0267a,data/text_data/bawe_body/0267a.txt,M,1987,English,UKA,CAS,0267,1,2005-11,Latin American Themes and Problems,AM101,Essay,Comparative American Studies,AH,D,1,2069,42,8,0,0,0,0,0,0,no abstract,49.3,5.3,simple assignment
0269b,data/text_data/bawe_body/0269b.txt,M,1987,English,UKA,PAIS,0269,1,2005-11,Introduction to Research Methods,PO102,Essay,Politics,SS,D,1,2427,95,34,0,1,0,0,0,14,no abstract,25.5,2.8,simple assignment
0271b,data/text_data/bawe_body/0271b.txt,F,1987,Chinese unspecified,OSA,Law and Business,0271,1,2006-03,Business Studies II: Management of Change,IB3140,Essay,Business,SS,M,1,1483,56,11,0,0,0,0,0,0,no abstract,26.5,5.1,simple assignment
0272c,data/text_data/bawe_body/0272c.txt,M,1986,English,UK5,PAIS,0272,2,2006-03,Politics of the USA,PO207,Essay,Politics,SS,M,1,1587,60,7,0,0,0,0,0,0,no abstract,26.4,8.6,simple assignment
0274a,data/text_data/bawe_body/0274a.txt,M,1986,English,UKA,Mathematics,0274,2,2006-04,Modelling Nature's Nonlinearity,MA240,Critique,Mathematics,PS,M,4,1051,61,32,0,9,0,19,1,10,no abstract,17.2,1.9,simple assignment
0275c,data/text_data/bawe_body/0275c.txt,F,1987,English,OSA,PAIS,0275,1,2006-12,Introduction to Research Methods,PO102,Essay,Politics,SS,M,1,2713,110,27,0,0,0,0,0,0,no abstract,24.7,4.1,simple assignment
0276c,data/text_data/bawe_body/0276c.txt,F,1984,English,UKA,PAIS,0276,1,2004-04,Introduction to Research Methods,PO102,Critique,Politics,SS,D,1,2355,78,10,0,0,1,0,0,0,no abstract,30.2,7.8,simple assignment
0277c,data/text_data/bawe_body/0277c.txt,F,1982,Portuguese,OSA,MCchB,0277,4,2005-11,Health in the Community,MD100,Case study,Medicine,LS,M,1,1494,74,24,0,0,0,0,1,5,no abstract,20.2,3.1,simple assignment
0278c,data/text_data/bawe_body/0278c.txt,F,1987,Korean,OSA,Law and Business,0278,1,2005-12,Business Studies II,IB3140,Explanation,Business,SS,D,1,1420,47,11,0,0,0,0,0,0,no abstract,30.2,4.3,simple assignment
0280c,data/text_data/bawe_body/0280c.txt,M,1984,English,UKA,Comparative American Studies,0280,1,2004-03,Latin American Themes and Problems,AM101,Essay,Comparative American Studies,AH,M,1,2444,87,11,1,0,2,0,0,0,no abstract,28.1,7.9,simple assignment
0281a,data/text_data/bawe_body/0281a.txt,F,1978,Portuguese,OSA,MA Globalisationa dn Development,0281,4,2005-12,"Globalisation, Governance and Development",PO901,Essay,Politics,SS,M,1,2143,93,22,0,0,1,0,0,0,abstract present,23,4.2,simple assignment
0284a,data/text_data/bawe_body/0284a.txt,M,1984,German,OSA,Computer and Management Sciences,0284,1,2005-01,Professional Aspects of Computing,CS122,Essay,Computer Science,PS,D,1,1279,47,13,0,0,1,1,0,0,no abstract,27.2,3.6,simple assignment
0285a,data/text_data/bawe_body/0285a.txt,M,1986,English,OSA,Philosophy,0285,1,2006-02,Introduction to Ancient Philosophy,PH102,Essay,Philosophy,AH,M,1,1717,75,10,0,0,0,0,0,0,no abstract,22.9,7.5,simple assignment
